n,escenario,objetivo,algoritmo,repeticion,posicion,comparaciones,tiempo_ns
10000,centro,12395.0,Lineal,15,4993,4994,190800
10000,centro,12395.0,Lineal,16,4993,4994,189500
10000,centro,12395.0,Lineal,17,4993,4994,193500
10000,centro,12395.0,Lineal,18,4993,4994,199000
10000,centro,12395.0,Lineal,19,4993,4994,188100
10000,centro,12395.0,Lineal,20,4993,4994,191200
10000,centro,12395.0,Lineal,21,4993,4994,192000
10000,centro,12395.0,Lineal,22,4993,4994,191500
10000,centro,12395.0,Lineal,23,4993,4994,190000
10000,centro,12395.0,Lineal,24,4993,4994,193900
10000,centro,12395.0,Lineal,25,4993,4994,185800
10000,centro,12395.0,Lineal,26,4993,4994,183300
10000,centro,12395.0,Lineal,27,4993,4994,182400
10000,centro,12395.0,Lineal,28,4993,4994,180200
10000,centro,12395.0,Lineal,29,4993,4994,192300
10000,centro,12395.0,Lineal,30,4993,4994,198000
10000,centro,12395.0,Binaria,1,8,10,3600
10000,centro,12395.0,Binaria,2,8,10,1400
10000,centro,12395.0,Binaria,3,8,10,1100
10000,centro,12395.0,Binaria,4,8,10,1100
10000,centro,12395.0,Binaria,5,8,10,1000
10000,centro,12395.0,Binaria,6,8,10,1100
10000,centro,12395.0,Binaria,7,8,10,1000
10000,centro,12395.0,Binaria,8,8,10,1000
10000,centro,12395.0,Binaria,9,8,10,1000
10000,centro,12395.0,Binaria,10,8,10,1000
10000,centro,12395.0,Binaria,11,8,10,1100
10000,centro,12395.0,Binaria,12,8,10,1000
10000,centro,12395.0,Binaria,13,8,10,1000
10000,centro,12395.0,Binaria,14,8,10,1000
10000,centro,12395.0,Binaria,15,8,10,1000
10000,centro,12395.0,Binaria,16,8,10,1000
10000,centro,12395.0,Binaria,17,8,10,1000
10000,centro,12395.0,Binaria,18,8,10,1000
10000,centro,12395.0,Binaria,19,8,10,1000
10000,centro,12395.0,Binaria,20,8,10,1100
10000,centro,12395.0,Binaria,21,8,10,1000
10000,centro,12395.0,Binaria,22,8,10,1100
10000,centro,12395.0,Binaria,23,8,10,1000
10000,centro,12395.0,Binaria,24,8,10,1100
10000,centro,12395.0,Binaria,25,8,10,900
10000,centro,12395.0,Binaria,26,8,10,1000
10000,centro,12395.0,Binaria,27,8,10,1000
10000,centro,12395.0,Binaria,28,8,10,1000
10000,centro,12395.0,Binaria,29,8,10,1000
10000,centro,12395.0,Binaria,30,8,10,900
10000,final,17735.0,Lineal,1,9993,9994,396400
10000,final,17735.0,Lineal,2,9993,9994,370600
10000,final,17735.0,Lineal,3,9993,9994,389700
10000,final,17735.0,Lineal,4,9993,9994,408400
10000,final,17735.0,Lineal,5,9993,9994,453400
10000,final,17735.0,Lineal,6,9993,9994,438200
10000,final,17735.0,Lineal,7,9993,9994,401100
10000,final,17735.0,Lineal,8,9993,9994,376000
10000,final,17735.0,Lineal,9,9993,9994,377000
10000,final,17735.0,Lineal,10,9993,9994,381900
10000,final,17735.0,Lineal,11,9993,9994,386700
10000,final,17735.0,Lineal,12,9993,9994,371900
10000,final,17735.0,Lineal,13,9993,9994,374700
10000,final,17735.0,Lineal,14,9993,9994,373000
10000,final,17735.0,Lineal,15,9993,9994,377200
10000,final,17735.0,Lineal,16,9993,9994,414900
10000,final,17735.0,Lineal,17,9993,9994,384900
10000,final,17735.0,Lineal,18,9993,9994,407100
10000,final,17735.0,Lineal,19,9993,9994,376800
10000,final,17735.0,Lineal,20,9993,9994,370500
10000,final,17735.0,Lineal,21,9993,9994,390100
10000,final,17735.0,Lineal,22,9993,9994,382500
10000,final,17735.0,Lineal,23,9993,9994,387000
10000,final,17735.0,Lineal,24,9993,9994,387400
10000,final,17735.0,Lineal,25,9993,9994,381300
10000,final,17735.0,Lineal,26,9993,9994,381300
10000,final,17735.0,Lineal,27,9993,9994,382300
10000,final,17735.0,Lineal,28,9993,9994,380600
10000,final,17735.0,Lineal,29,9993,9994,376400
10000,final,17735.0,Lineal,30,9993,9994,387200
10000,final,17735.0,Binaria,1,8192,10,3200
10000,final,17735.0,Binaria,2,8192,10,1400
10000,final,17735.0,Binaria,3,8192,10,1200
10000,final,17735.0,Binaria,4,8192,10,1100
10000,final,17735.0,Binaria,5,8192,10,1700
10000,final,17735.0,Binaria,6,8192,10,1100
10000,final,17735.0,Binaria,7,8192,10,1100
10000,final,17735.0,Binaria,8,8192,10,1100
10000,final,17735.0,Binaria,9,8192,10,1100
10000,final,17735.0,Binaria,10,8192,10,1200
10000,final,17735.0,Binaria,11,8192,10,1200
10000,final,17735.0,Binaria,12,8192,10,1100
10000,final,17735.0,Binaria,13,8192,10,1100
10000,final,17735.0,Binaria,14,8192,10,1000
10000,final,17735.0,Binaria,15,8192,10,1100
10000,final,17735.0,Binaria,16,8192,10,1100
10000,final,17735.0,Binaria,17,8192,10,1100
10000,final,17735.0,Binaria,18,8192,10,1200
10000,final,17735.0,Binaria,19,8192,10,1100
10000,final,17735.0,Binaria,20,8192,10,1200
10000,final,17735.0,Binaria,21,8192,10,1100
10000,final,17735.0,Binaria,22,8192,10,1100
10000,final,17735.0,Binaria,23,8192,10,1200
10000,final,17735.0,Binaria,24,8192,10,1100
10000,final,17735.0,Binaria,25,8192,10,1100
10000,final,17735.0,Binaria,26,8192,10,1100
10000,final,17735.0,Binaria,27,8192,10,1100
10000,final,17735.0,Binaria,28,8192,10,1100
10000,final,17735.0,Binaria,29,8192,10,1200
10000,final,17735.0,Binaria,30,8192,10,1100
10000,ausente,18288.0,Lineal,1,-1,10000,399800
10000,ausente,18288.0,Lineal,2,-1,10000,367600
10000,ausente,18288.0,Lineal,3,-1,10000,377600
10000,ausente,18288.0,Lineal,4,-1,10000,376100
10000,ausente,18288.0,Lineal,5,-1,10000,380600
10000,ausente,18288.0,Lineal,6,-1,10000,382300
10000,ausente,18288.0,Lineal,7,-1,10000,394100
10000,ausente,18288.0,Lineal,8,-1,10000,388800
10000,ausente,18288.0,Lineal,9,-1,10000,376100
10000,ausente,18288.0,Lineal,10,-1,10000,377400
10000,ausente,18288.0,Lineal,11,-1,10000,377000
10000,ausente,18288.0,Lineal,12,-1,10000,369900
10000,ausente,18288.0,Lineal,13,-1,10000,379500
10000,ausente,18288.0,Lineal,14,-1,10000,389500
10000,ausente,18288.0,Lineal,15,-1,10000,396800
10000,ausente,18288.0,Lineal,16,-1,10000,424100
10000,ausente,18288.0,Lineal,17,-1,10000,371400
10000,ausente,18288.0,Lineal,18,-1,10000,375700
10000,ausente,18288.0,Lineal,19,-1,10000,378600
10000,ausente,18288.0,Lineal,20,-1,10000,372200
10000,ausente,18288.0,Lineal,21,-1,10000,376900
10000,ausente,18288.0,Lineal,22,-1,10000,366400
10000,ausente,18288.0,Lineal,23,-1,10000,370800
10000,ausente,18288.0,Lineal,24,-1,10000,374200
10000,ausente,18288.0,Lineal,25,-1,10000,405900
10000,ausente,18288.0,Lineal,26,-1,10000,397600
10000,ausente,18288.0,Lineal,27,-1,10000,389500
10000,ausente,18288.0,Lineal,28,-1,10000,364100
10000,ausente,18288.0,Lineal,29,-1,10000,381700
10000,ausente,18288.0,Lineal,30,-1,10000,384200
10000,ausente,18288.0,Binaria,1,-1,14,3900
10000,ausente,18288.0,Binaria,2,-1,14,1700
10000,ausente,18288.0,Binaria,3,-1,14,1500
10000,ausente,18288.0,Binaria,4,-1,14,1300
10000,ausente,18288.0,Binaria,5,-1,14,1400
10000,ausente,18288.0,Binaria,6,-1,14,1300
10000,ausente,18288.0,Binaria,7,-1,14,1500
10000,ausente,18288.0,Binaria,8,-1,14,1400
10000,ausente,18288.0,Binaria,9,-1,14,1400
10000,ausente,18288.0,Binaria,10,-1,14,1300
10000,ausente,18288.0,Binaria,11,-1,14,1300
10000,ausente,18288.0,Binaria,12,-1,14,1400
10000,ausente,18288.0,Binaria,13,-1,14,1400
10000,ausente,18288.0,Binaria,14,-1,14,1400
10000,ausente,18288.0,Binaria,15,-1,14,1400
10000,ausente,18288.0,Binaria,16,-1,14,1300
10000,ausente,18288.0,Binaria,17,-1,14,1400
10000,ausente,18288.0,Binaria,18,-1,14,1500
10000,ausente,18288.0,Binaria,19,-1,14,1500
10000,ausente,18288.0,Binaria,20,-1,14,1400
10000,ausente,18288.0,Binaria,21,-1,14,1600
10000,ausente,18288.0,Binaria,22,-1,14,1400
10000,ausente,18288.0,Binaria,23,-1,14,1400
10000,ausente,18288.0,Binaria,24,-1,14,1400
10000,ausente,18288.0,Binaria,25,-1,14,1400
10000,ausente,18288.0,Binaria,26,-1,14,1500
10000,ausente,18288.0,Binaria,27,-1,14,1500
10000,ausente,18288.0,Binaria,28,-1,14,1800
10000,ausente,18288.0,Binaria,29,-1,14,1400
10000,ausente,18288.0,Binaria,30,-1,14,1400
100000,inicio,17850.0,Lineal,1,0,1,5100
100000,inicio,17850.0,Lineal,2,0,1,700
100000,inicio,17850.0,Lineal,3,0,1,600
100000,inicio,17850.0,Lineal,4,0,1,800
100000,inicio,17850.0,Lineal,5,0,1,400
100000,inicio,17850.0,Lineal,6,0,1,300
100000,inicio,17850.0,Lineal,7,0,1,300
100000,inicio,17850.0,Lineal,8,0,1,400
100000,inicio,17850.0,Lineal,9,0,1,200
100000,inicio,17850.0,Lineal,10,0,1,300
100000,inicio,17850.0,Lineal,11,0,1,300
100000,inicio,17850.0,Lineal,12,0,1,300
100000,inicio,17850.0,Lineal,13,0,1,300
100000,inicio,17850.0,Lineal,14,0,1,300
100000,inicio,17850.0,Lineal,15,0,1,300
100000,inicio,17850.0,Lineal,16,0,1,300
100000,inicio,17850.0,Lineal,17,0,1,200
100000,inicio,17850.0,Lineal,18,0,1,300
100000,inicio,17850.0,Lineal,19,0,1,300
100000,inicio,17850.0,Lineal,20,0,1,300
100000,inicio,17850.0,Lineal,21,0,1,200
100000,inicio,17850.0,Lineal,22,0,1,300
100000,inicio,17850.0,Lineal,23,0,1,200
100000,inicio,17850.0,Lineal,24,0,1,200
100000,inicio,17850.0,Lineal,25,0,1,300
100000,inicio,17850.0,Lineal,26,0,1,300
100000,inicio,17850.0,Lineal,27,0,1,300
100000,inicio,17850.0,Lineal,28,0,1,300
100000,inicio,17850.0,Lineal,29,0,1,200
100000,inicio,17850.0,Lineal,30,0,1,300
100000,inicio,17850.0,Binaria,1,93358,8,2900
100000,inicio,17850.0,Binaria,2,93358,8,1200
100000,inicio,17850.0,Binaria,3,93358,8,1000
100000,inicio,17850.0,Binaria,4,93358,8,900
100000,inicio,17850.0,Binaria,5,93358,8,900
100000,inicio,17850.0,Binaria,6,93358,8,1000
100000,inicio,17850.0,Binaria,7,93358,8,1100
100000,inicio,17850.0,Binaria,8,93358,8,1100
100000,inicio,17850.0,Binaria,9,93358,8,1000
100000,inicio,17850.0,Binaria,10,93358,8,900
100000,inicio,17850.0,Binaria,11,93358,8,1000
100000,inicio,17850.0,Binaria,12,93358,8,1100
100000,inicio,17850.0,Binaria,13,93358,8,1000
100000,inicio,17850.0,Binaria,14,93358,8,1000
100000,inicio,17850.0,Binaria,15,93358,8,900
100000,inicio,17850.0,Binaria,16,93358,8,900
100000,inicio,17850.0,Binaria,17,93358,8,1000
100000,inicio,17850.0,Binaria,18,93358,8,900
100000,inicio,17850.0,Binaria,19,93358,8,800
100000,inicio,17850.0,Binaria,20,93358,8,900
100000,inicio,17850.0,Binaria,21,93358,8,900
100000,inicio,17850.0,Binaria,22,93358,8,900
100000,inicio,17850.0,Binaria,23,93358,8,900
100000,inicio,17850.0,Binaria,24,93358,8,900
100000,inicio,17850.0,Binaria,25,93358,8,900
100000,inicio,17850.0,Binaria,26,93358,8,1000
100000,inicio,17850.0,Binaria,27,93358,8,900
100000,inicio,17850.0,Binaria,28,93358,8,900
100000,inicio,17850.0,Binaria,29,93358,8,1000
100000,inicio,17850.0,Binaria,30,93358,8,900
100000,centro,16161.0,Lineal,1,7912,7913,310500
100000,centro,16161.0,Lineal,2,7912,7913,356700
100000,centro,16161.0,Lineal,3,7912,7913,386800
100000,centro,16161.0,Lineal,4,7912,7913,318800
100000,centro,16161.0,Lineal,5,7912,7913,310800
100000,centro,16161.0,Lineal,6,7912,7913,357200
100000,centro,16161.0,Lineal,7,7912,7913,341800
100000,centro,16161.0,Lineal,8,7912,7913,317100
100000,centro,16161.0,Lineal,9,7912,7913,300200
100000,centro,16161.0,Lineal,10,7912,7913,293100
100000,centro,16161.0,Lineal,11,7912,7913,295600
100000,centro,16161.0,Lineal,12,7912,7913,374800
100000,centro,16161.0,Lineal,13,7912,7913,333100
100000,centro,16161.0,Lineal,14,7912,7913,300800
100000,centro,16161.0,Lineal,15,7912,7913,343800
100000,centro,16161.0,Lineal,16,7912,7913,444400
100000,centro,16161.0,Lineal,17,7912,7913,299500
100000,centro,16161.0,Lineal,18,7912,7913,301200
100000,centro,16161.0,Lineal,19,7912,7913,298400
100000,centro,16161.0,Lineal,20,7912,7913,298000
100000,centro,16161.0,Lineal,21,7912,7913,291200
100000,centro,16161.0,Lineal,22,7912,7913,302000
100000,centro,16161.0,Lineal,23,7912,7913,308900
100000,centro,16161.0,Lineal,24,7912,7913,303500
100000,centro,16161.0,Lineal,25,7912,7913,306800
100000,centro,16161.0,Lineal,26,7912,7913,293900
100000,centro,16161.0,Lineal,27,7912,7913,305900
100000,centro,16161.0,Lineal,28,7912,7913,300800
100000,centro,16161.0,Lineal,29,7912,7913,308200
100000,centro,16161.0,Lineal,30,7912,7913,304500
100000,centro,16161.0,Binaria,1,65233,8,5100
100000,centro,16161.0,Binaria,2,65233,8,1200
100000,centro,16161.0,Binaria,3,65233,8,1000
100000,centro,16161.0,Binaria,4,65233,8,900
100000,centro,16161.0,Binaria,5,65233,8,900
100000,centro,16161.0,Binaria,6,65233,8,1000
100000,centro,16161.0,Binaria,7,65233,8,900
100000,centro,16161.0,Binaria,8,65233,8,900
100000,centro,16161.0,Binaria,9,65233,8,1100
100000,centro,16161.0,Binaria,10,65233,8,900
100000,centro,16161.0,Binaria,11,65233,8,900
100000,centro,16161.0,Binaria,12,65233,8,900
100000,centro,16161.0,Binaria,13,65233,8,900
100000,centro,16161.0,Binaria,14,65233,8,1100
100000,centro,16161.0,Binaria,15,65233,8,900
100000,centro,16161.0,Binaria,16,65233,8,1000
100000,centro,16161.0,Binaria,17,65233,8,900
100000,centro,16161.0,Binaria,18,65233,8,1000
100000,centro,16161.0,Binaria,19,65233,8,900
100000,centro,16161.0,Binaria,20,65233,8,1000
100000,centro,16161.0,Binaria,21,65233,8,900
100000,centro,16161.0,Binaria,22,65233,8,900
100000,centro,16161.0,Binaria,23,65233,8,900
100000,centro,16161.0,Binaria,24,65233,8,1000
100000,centro,16161.0,Binaria,25,65233,8,1000
100000,centro,16161.0,Binaria,26,65233,8,1100
100000,centro,16161.0,Binaria,27,65233,8,1100
100000,centro,16161.0,Binaria,28,65233,8,900
100000,centro,16161.0,Binaria,29,65233,8,900
100000,centro,16161.0,Binaria,30,65233,8,1000
100000,final,18044.0,Lineal,1,19628,19629,739000
100000,final,18044.0,Lineal,2,19628,19629,737800
100000,final,18044.0,Lineal,3,19628,19629,740800
100000,final,18044.0,Lineal,4,19628,19629,781100
100000,final,18044.0,Lineal,5,19628,19629,948300
100000,final,18044.0,Lineal,6,19628,19629,762600
100000,final,18044.0,Lineal,7,19628,19629,975600
100000,final,18044.0,Lineal,8,19628,19629,832200
100000,final,18044.0,Lineal,9,19628,19629,763500
100000,final,18044.0,Lineal,10,19628,19629,782600
100000,final,18044.0,Lineal,11,19628,19629,781800
100000,final,18044.0,Lineal,12,19628,19629,732700
100000,final,18044.0,Lineal,13,19628,19629,751600
100000,final,18044.0,Lineal,14,19628,19629,727800
100000,final,18044.0,Lineal,15,19628,19629,725400
100000,final,18044.0,Lineal,16,19628,19629,737900
100000,final,18044.0,Lineal,17,19628,19629,732000
100000,final,18044.0,Lineal,18,19628,19629,744600
100000,final,18044.0,Lineal,19,19628,19629,726100
100000,final,18044.0,Lineal,20,19628,19629,734800
100000,final,18044.0,Lineal,21,19628,19629,724300
100000,final,18044.0,Lineal,22,19628,19629,728600
100000,final,18044.0,Lineal,23,19628,19629,758300
100000,final,18044.0,Lineal,24,19628,19629,774400
100000,final,18044.0,Lineal,25,19628,19629,767700
100000,final,18044.0,Lineal,26,19628,19629,757900
100000,final,18044.0,Lineal,27,19628,19629,761600
100000,final,18044.0,Lineal,28,19628,19629,754600
100000,final,18044.0,Lineal,29,19628,19629,731600
100000,final,18044.0,Lineal,30,19628,19629,732700
100000,final,18044.0,Binaria,1,96434,11,4400
100000,final,18044.0,Binaria,2,96434,11,1500
100000,final,18044.0,Binaria,3,96434,11,1400
100000,final,18044.0,Binaria,4,96434,11,1300
100000,final,18044.0,Binaria,5,96434,11,1400
100000,final,18044.0,Binaria,6,96434,11,1400
100000,final,18044.0,Binaria,7,96434,11,1300
100000,final,18044.0,Binaria,8,96434,11,1300
100000,final,18044.0,Binaria,9,96434,11,1300
100000,final,18044.0,Binaria,10,96434,11,1400
100000,final,18044.0,Binaria,11,96434,11,1200
100000,final,18044.0,Binaria,12,96434,11,1300
100000,final,18044.0,Binaria,13,96434,11,1300
100000,final,18044.0,Binaria,14,96434,11,1300
100000,final,18044.0,Binaria,15,96434,11,1300
100000,final,18044.0,Binaria,16,96434,11,1200
100000,final,18044.0,Binaria,17,96434,11,1300
100000,final,18044.0,Binaria,18,96434,11,1300
100000,final,18044.0,Binaria,19,96434,11,1200
100000,final,18044.0,Binaria,20,96434,11,1200
100000,final,18044.0,Binaria,21,96434,11,1400
100000,final,18044.0,Binaria,22,96434,11,1100
100000,final,18044.0,Binaria,23,96434,11,1300
100000,final,18044.0,Binaria,24,96434,11,1200
100000,final,18044.0,Binaria,25,96434,11,1100
100000,final,18044.0,Binaria,26,96434,11,1200
100000,final,18044.0,Binaria,27,96434,11,1200
100000,final,18044.0,Binaria,28,96434,11,1300
100000,final,18044.0,Binaria,29,96434,11,1200
100000,final,18044.0,Binaria,30,96434,11,1100
100000,ausente,18288.0,Lineal,1,-1,100000,3911200
100000,ausente,18288.0,Lineal,2,-1,100000,4027600
100000,ausente,18288.0,Lineal,3,-1,100000,4050400
100000,ausente,18288.0,Lineal,4,-1,100000,4189200
100000,ausente,18288.0,Lineal,5,-1,100000,4021700
100000,ausente,18288.0,Lineal,6,-1,100000,3888100
100000,ausente,18288.0,Lineal,7,-1,100000,4007700
100000,ausente,18288.0,Lineal,8,-1,100000,3936500
100000,ausente,18288.0,Lineal,9,-1,100000,3941600
100000,ausente,18288.0,Lineal,10,-1,100000,3771900
100000,ausente,18288.0,Lineal,11,-1,100000,3781300
100000,ausente,18288.0,Lineal,12,-1,100000,3865700
100000,ausente,18288.0,Lineal,13,-1,100000,3877200
100000,ausente,18288.0,Lineal,14,-1,100000,3846300
100000,ausente,18288.0,Lineal,15,-1,100000,3907900
100000,ausente,18288.0,Lineal,16,-1,100000,3832800
100000,ausente,18288.0,Lineal,17,-1,100000,3884100
100000,ausente,18288.0,Lineal,18,-1,100000,3884500
100000,ausente,18288.0,Lineal,19,-1,100000,3927000
100000,ausente,18288.0,Lineal,20,-1,100000,3858800
100000,ausente,18288.0,Lineal,21,-1,100000,3835100
100000,ausente,18288.0,Lineal,22,-1,100000,3893300
100000,ausente,18288.0,Lineal,23,-1,100000,3783700
100000,ausente,18288.0,Lineal,24,-1,100000,3853900
100000,ausente,18288.0,Lineal,25,-1,100000,3877900
100000,ausente,18288.0,Lineal,26,-1,100000,3828300
100000,ausente,18288.0,Lineal,27,-1,100000,3821400
100000,ausente,18288.0,Lineal,28,-1,100000,3819000
100000,ausente,18288.0,Lineal,29,-1,100000,3840400
100000,ausente,18288.0,Lineal,30,-1,100000,3857600
100000,ausente,18288.0,Binaria,1,-1,17,6000
100000,ausente,18288.0,Binaria,2,-1,17,2100
100000,ausente,18288.0,Binaria,3,-1,17,1700
100000,ausente,18288.0,Binaria,4,-1,17,1700
100000,ausente,18288.0,Binaria,5,-1,17,1700
100000,ausente,18288.0,Binaria,6,-1,17,1700
100000,ausente,18288.0,Binaria,7,-1,17,1900
100000,ausente,18288.0,Binaria,8,-1,17,1700
100000,ausente,18288.0,Binaria,9,-1,17,1800
100000,ausente,18288.0,Binaria,10,-1,17,1800
100000,ausente,18288.0,Binaria,11,-1,17,1800
100000,ausente,18288.0,Binaria,12,-1,17,1700
100000,ausente,18288.0,Binaria,13,-1,17,1800
100000,ausente,18288.0,Binaria,14,-1,17,1800
100000,ausente,18288.0,Binaria,15,-1,17,1800
100000,ausente,18288.0,Binaria,16,-1,17,1800
100000,ausente,18288.0,Binaria,17,-1,17,1700
100000,ausente,18288.0,Binaria,18,-1,17,1700
100000,ausente,18288.0,Binaria,19,-1,17,1600
100000,ausente,18288.0,Binaria,20,-1,17,1600
100000,ausente,18288.0,Binaria,21,-1,17,1700
100000,ausente,18288.0,Binaria,22,-1,17,1700
100000,ausente,18288.0,Binaria,23,-1,17,1700
100000,ausente,18288.0,Binaria,24,-1,17,1800
100000,ausente,18288.0,Binaria,25,-1,17,1600
100000,ausente,18288.0,Binaria,26,-1,17,1600
100000,ausente,18288.0,Binaria,27,-1,17,1700
100000,ausente,18288.0,Binaria,28,-1,17,1700
100000,ausente,18288.0,Binaria,29,-1,17,1600
100000,ausente,18288.0,Binaria,30,-1,17,1600
