n,escenario,objetivo,algoritmo,repeticion,posicion,comparaciones,tiempo_ns
1000,inicio,17850.0,Lineal,22,0,1,200
1000,inicio,17850.0,Lineal,23,0,1,200
1000,inicio,17850.0,Lineal,24,0,1,300
1000,inicio,17850.0,Lineal,25,0,1,300
1000,inicio,17850.0,Lineal,26,0,1,300
1000,inicio,17850.0,Lineal,27,0,1,300
1000,inicio,17850.0,Lineal,28,0,1,300
1000,inicio,17850.0,Lineal,29,0,1,200
1000,inicio,17850.0,Lineal,30,0,1,300
1000,inicio,17850.0,Binaria,1,686,4,2400
1000,inicio,17850.0,Binaria,2,686,4,900
1000,inicio,17850.0,Binaria,3,686,4,700
1000,inicio,17850.0,Binaria,4,686,4,600
1000,inicio,17850.0,Binaria,5,686,4,500
1000,inicio,17850.0,Binaria,6,686,4,600
1000,inicio,17850.0,Binaria,7,686,4,500
1000,inicio,17850.0,Binaria,8,686,4,500
1000,inicio,17850.0,Binaria,9,686,4,600
1000,inicio,17850.0,Binaria,10,686,4,600
1000,inicio,17850.0,Binaria,11,686,4,600
1000,inicio,17850.0,Binaria,12,686,4,500
1000,inicio,17850.0,Binaria,13,686,4,500
1000,inicio,17850.0,Binaria,14,686,4,400
1000,inicio,17850.0,Binaria,15,686,4,500
1000,inicio,17850.0,Binaria,16,686,4,400
1000,inicio,17850.0,Binaria,17,686,4,500
1000,inicio,17850.0,Binaria,18,686,4,900
1000,inicio,17850.0,Binaria,19,686,4,900
1000,inicio,17850.0,Binaria,20,686,4,900
1000,inicio,17850.0,Binaria,21,686,4,800
1000,inicio,17850.0,Binaria,22,686,4,600
1000,inicio,17850.0,Binaria,23,686,4,500
1000,inicio,17850.0,Binaria,24,686,4,500
1000,inicio,17850.0,Binaria,25,686,4,500
1000,inicio,17850.0,Binaria,26,686,4,500
1000,inicio,17850.0,Binaria,27,686,4,500
1000,inicio,17850.0,Binaria,28,686,4,400
1000,inicio,17850.0,Binaria,29,686,4,600
1000,inicio,17850.0,Binaria,30,686,4,600
1000,centro,17908.0,Lineal,1,483,484,32100
1000,centro,17908.0,Lineal,2,483,484,28900
1000,centro,17908.0,Lineal,3,483,484,28900
1000,centro,17908.0,Lineal,4,483,484,28100
1000,centro,17908.0,Lineal,5,483,484,27700
1000,centro,17908.0,Lineal,6,483,484,29600
1000,centro,17908.0,Lineal,7,483,484,28100
1000,centro,17908.0,Lineal,8,483,484,28600
1000,centro,17908.0,Lineal,9,483,484,27500
1000,centro,17908.0,Lineal,10,483,484,28000
1000,centro,17908.0,Lineal,11,483,484,31300
1000,centro,17908.0,Lineal,12,483,484,27300
1000,centro,17908.0,Lineal,13,483,484,28300
1000,centro,17908.0,Lineal,14,483,484,28500
1000,centro,17908.0,Lineal,15,483,484,28700
1000,centro,17908.0,Lineal,16,483,484,28600
1000,centro,17908.0,Lineal,17,483,484,27900
1000,centro,17908.0,Lineal,18,483,484,28200
1000,centro,17908.0,Lineal,19,483,484,29000
1000,centro,17908.0,Lineal,20,483,484,28000
1000,centro,17908.0,Lineal,21,483,484,25400
1000,centro,17908.0,Lineal,22,483,484,16600
1000,centro,17908.0,Lineal,23,483,484,16200
1000,centro,17908.0,Lineal,24,483,484,15800
1000,centro,17908.0,Lineal,25,483,484,16000
1000,centro,17908.0,Lineal,26,483,484,16000
1000,centro,17908.0,Lineal,27,483,484,16300
1000,centro,17908.0,Lineal,28,483,484,16000
1000,centro,17908.0,Lineal,29,483,484,19100
1000,centro,17908.0,Lineal,30,483,484,16300
1000,centro,17908.0,Binaria,1,749,2,1600
1000,centro,17908.0,Binaria,2,749,2,700
1000,centro,17908.0,Binaria,3,749,2,400
1000,centro,17908.0,Binaria,4,749,2,400
1000,centro,17908.0,Binaria,5,749,2,400
1000,centro,17908.0,Binaria,6,749,2,400
1000,centro,17908.0,Binaria,7,749,2,400
1000,centro,17908.0,Binaria,8,749,2,400
1000,centro,17908.0,Binaria,9,749,2,300
